cluster_id,bracket_content,normalized_content,match_index_in_title,keyword,platform,pid,name,price,status,link
bracket_001,"미개봉,정품,새상품,애플케어","미개봉,정품,새상품,애플케어",1,아이폰 17e,번개장터,406121277,"[미개봉,정품,새상품,애플케어]아이폰17e/256GB",510000,판매중,https://m.bunjang.co.kr/products/406121277
bracket_001,"미개봉,새상품,정품,애플케어","미개봉,새상품,정품,애플케어",1,아이폰 17e,번개장터,406115350,"[미개봉,새상품,정품,애플케어]아이폰17e/256GB",490000,판매중,https://m.bunjang.co.kr/products/406115350
bracket_001,미사용/새상품,미사용/새상품,1,아이폰 17e,번개장터,405878593,"[미사용/새상품]아이폰17E 재고정리 할인 [13,14,15,16,프로]",50000,판매중,https://m.bunjang.co.kr/products/405878593
bracket_022,"13,14,15,16,프로","13,14,15,16,프로",2,아이폰 17e,번개장터,405878593,"[미사용/새상품]아이폰17E 재고정리 할인 [13,14,15,16,프로]",50000,판매중,https://m.bunjang.co.kr/products/405878593
bracket_001,미사용/새상품,미사용/새상품,1,아이폰 17e,번개장터,405869614,"[미사용/새상품]아이폰16E 재고정리 할인 [13,14,15,17,프로]",50000,판매중,https://m.bunjang.co.kr/products/405869614
bracket_022,"13,14,15,17,프로","13,14,15,17,프로",2,아이폰 17e,번개장터,405869614,"[미사용/새상품]아이폰16E 재고정리 할인 [13,14,15,17,프로]",50000,판매중,https://m.bunjang.co.kr/products/405869614
bracket_001,미개봉/정품/새상품,미개봉/정품/새상품,1,아이폰 17e,번개장터,322088407,아이폰17e[미개봉/정품/새상품],688800,판매중,https://m.bunjang.co.kr/products/322088407
bracket_001,미개봉,미개봉,1,아이폰 17e,번개장터,396471631,[미개봉] 직94) 아이폰17e 256GB 자급제,950000,판매중,https://m.bunjang.co.kr/products/396471631
bracket_085,일괄,일괄,1,아이폰 17e,번개장터,406378689,[일괄] 아이폰 17e / 16e 케이스 아이썸머리 마페아 핑크호피,42580,판매중,https://m.bunjang.co.kr/products/406378689
bracket_001,새상품,새상품,1,아이폰 17e,번개장터,384656215,[새상품]아이폰17프로 casetify케이스티파이iPhone17pro,75000,판매중,https://m.bunjang.co.kr/products/384656215
bracket_083,아이폰17 케이스,아이폰17 케이스,1,아이폰 17e,번개장터,400450928,[아이폰17 케이스] 산사 Afternoon Leaf 에폭시 범퍼 케이스,17000,판매중,https://m.bunjang.co.kr/products/400450928
bracket_059,iphone 17 pro max,iphone 17 pro max,1,아이폰 17e,번개장터,399111023,[iphone 17 pro max] skylrk case,100000,판매중,https://m.bunjang.co.kr/products/399111023
bracket_198,배터리 사이클 1,배터리 사이클 1,1,아이폰 17e,번개장터,405896786,[배터리 사이클 1 ] 아이폰 17E 핑크 256기가,880000,판매중,https://m.bunjang.co.kr/products/405896786
bracket_001,새상품,새상품,1,아이폰 17e,번개장터,384656497,[새상품]아이폰17프로 casetify케이스티파이iPhone17pro,75000,판매중,https://m.bunjang.co.kr/products/384656497
bracket_001,새상품,새상품,1,아이폰 17e,번개장터,378619418,[새상품]아이폰17프로 casetify케이스티파이iPhone17pro,75000,판매중,https://m.bunjang.co.kr/products/378619418
bracket_001,정품,정품,1,아이폰 17e,번개장터,365451366,아이폰17 Pro Max MagSafe [정품] 투명 케이스[미개봉],42000,판매중,https://m.bunjang.co.kr/products/365451366
bracket_001,미개봉,미개봉,2,아이폰 17e,번개장터,365451366,아이폰17 Pro Max MagSafe [정품] 투명 케이스[미개봉],42000,판매중,https://m.bunjang.co.kr/products/365451366
bracket_001,미개봉,미개봉,1,아이폰 17e,중고나라,226562813,[미개봉] 아이폰17e 256GB 자급제 팝니다.,940000,판매중,https://web.joongna.com/product/226562813
bracket_001,미개봉/자급제,미개봉/자급제,1,아이폰 17e,중고나라,228166495,[미개봉/자급제] 아이폰 17e 256GB 블랙,850000,거래완료,https://web.joongna.com/product/228166495
bracket_164,83만,83만,1,아이폰 17e,중고나라,227872930,[83만]아이폰17E 단순개봉 성능100%아이폰17E 싸이클15회 256기가,830000,판매중,https://web.joongna.com/product/227872930
bracket_034,삽니다,삽니다,1,아이폰 17 프로 맥스,번개장터,393111859,[삽니다] 아이폰17 프로 프로맥스 256 512 1TB 미개봉 자급제,1700000,판매중,https://m.bunjang.co.kr/products/393111859
bracket_020,KT,KT,1,아이폰 17 프로 맥스,번개장터,355981731,아이폰17프로맥스[KT](새상품/전색상/애플케어),1509000,판매중,https://m.bunjang.co.kr/products/355981731
bracket_024,알뜰통신사,알뜰통신사,1,아이폰 17 프로 맥스,번개장터,355961242,[알뜰통신사]아이폰17프로맥스(새상품/전색상/미개봉),1480000,판매중,https://m.bunjang.co.kr/products/355961242
bracket_021,SKT,SKT,1,아이폰 17 프로 맥스,번개장터,355981003,[SKT]아이폰17프로맥스(새상품/전색상/애플케어),1510000,판매중,https://m.bunjang.co.kr/products/355981003
bracket_020,KT,KT,1,아이폰 17 프로 맥스,번개장터,355960339,[KT]아이폰17프로맥스(새상품/전색상/미개봉 얼리버드 특가),1479000,판매중,https://m.bunjang.co.kr/products/355960339
bracket_027,LG,LG,1,아이폰 17 프로 맥스,번개장터,355982213,[LG]아이폰17프로맥스(새상품/전색상/애플케어),1498800,판매중,https://m.bunjang.co.kr/products/355982213
bracket_021,SKT,SKT,1,아이폰 17 프로 맥스,번개장터,355959994,[SKT]아이폰17프로맥스(새상품/전색상/정품),1480000,판매중,https://m.bunjang.co.kr/products/355959994
bracket_027,LG,LG,1,아이폰 17 프로 맥스,번개장터,355960747,[LG]아이폰17프로맥스(새상품/전색상/정품),1469000,판매중,https://m.bunjang.co.kr/products/355960747
bracket_001,새상품,새상품,1,아이폰 17 프로 맥스,번개장터,389684289,[새상품]아이폰17프로맥스 케이스티파이 주토피아,55000,판매중,https://m.bunjang.co.kr/products/389684289
bracket_001,미개봉,미개봉,1,아이폰 17 프로 맥스,번개장터,379428799,[미개봉] 벨킨 울트라 강화유리 아이폰17 프로맥스용,32000,판매중,https://m.bunjang.co.kr/products/379428799
bracket_001,미사용/새상품,미사용/새상품,1,아이폰 17 프로 맥스,번개장터,394161073,"[미사용/새상품]아이폰17프로맥스 재고정리 할인 [13,14,15,16]",930000,판매중,https://m.bunjang.co.kr/products/394161073
bracket_022,"13,14,15,16","13,14,15,16",2,아이폰 17 프로 맥스,번개장터,394161073,"[미사용/새상품]아이폰17프로맥스 재고정리 할인 [13,14,15,16]",930000,판매중,https://m.bunjang.co.kr/products/394161073
bracket_060,구매,구매,1,아이폰 17 프로 맥스,번개장터,395784125,[구매]아이폰 15프로맥스 iOS 17.2.1~17.3.1or미개봉,1234567,판매중,https://m.bunjang.co.kr/products/395784125
bracket_034,삽니다,삽니다,1,아이폰 17 프로 맥스,번개장터,382467783,[삽니다] 아이폰17프로맥스 256 512미개봉 새제품,1880000,판매중,https://m.bunjang.co.kr/products/382467783
bracket_001,미사용/새상품,미사용/새상품,1,아이폰 17 프로 맥스,번개장터,394158930,"[미사용/새상품]아이폰16프로맥스 재고정리 할인 [13,14,15,17]",720000,판매중,https://m.bunjang.co.kr/products/394158930
bracket_022,"13,14,15,17","13,14,15,17",2,아이폰 17 프로 맥스,번개장터,394158930,"[미사용/새상품]아이폰16프로맥스 재고정리 할인 [13,14,15,17]",720000,판매중,https://m.bunjang.co.kr/products/394158930
bracket_001,새상품,새상품,1,아이폰 17 프로 맥스,번개장터,398463378,[새상품] 아이폰 17프로맥스 맥세이프 케이스,7000,판매중,https://m.bunjang.co.kr/products/398463378
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,394601555,[아이폰 17프로맥스] 어반소피스티케이션 엔드리스 스카이 25S,96000,판매중,https://m.bunjang.co.kr/products/394601555
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,390419515,[아이폰 17프로맥스] 어반소피스키케이션 헬로키티,139000,판매중,https://m.bunjang.co.kr/products/390419515
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,394589277,[아이폰 17프로맥스] 어반소피스티케이션 오트 밀크 22S,72000,판매중,https://m.bunjang.co.kr/products/394589277
bracket_001,할인특가/미사용,할인특가/미사용,1,아이폰 17 프로 맥스,번개장터,382113070,"[할인특가/미사용]아이폰17프로맥스 판매합니다+13,14,15,16시리즈",1250000,판매중,https://m.bunjang.co.kr/products/382113070
bracket_001,할인특가/미사용,할인특가/미사용,1,아이폰 17 프로 맥스,번개장터,382121442,"[할인특가/미사용]아이폰16프로맥스 판매합니다+13,14,15,17시리즈",1090000,판매중,https://m.bunjang.co.kr/products/382121442
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,401421803,[아이폰 17프로맥스] 어반소피스티케이션 미러 푸퍼케이스 43S,96000,판매중,https://m.bunjang.co.kr/products/401421803
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,390418878,[아이폰 17프로맥스] 어반소피스키케이션 헬로키티 스터즈9,170000,판매중,https://m.bunjang.co.kr/products/390418878
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,399918156,[아이폰 17프로맥스] 어반소피스티케이션 크롬 42A,64000,판매중,https://m.bunjang.co.kr/products/399918156
bracket_185,경기~서울/타지역O,경기~서울/타지역O,1,아이폰 17 프로 맥스,번개장터,367245645,"[경기~서울/타지역O]아이폰17프로, 아이폰17프로맥스 등 비싸게 구입",1690000,판매중,https://m.bunjang.co.kr/products/367245645
bracket_001,정품,정품,1,아이폰 17 프로 맥스,번개장터,394839847,[정품] 아이폰 17프로맥스맥세이프케이스 (카메라 컨트롤 지원),35000,판매중,https://m.bunjang.co.kr/products/394839847
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,399915316,[아이폰 17프로맥스] 어반소피스티케이션 크롬 푸퍼케이스 41A,93000,판매중,https://m.bunjang.co.kr/products/399915316
bracket_035,아이폰 17프로 맥스,아이폰 17프로 맥스,1,아이폰 17 프로 맥스,번개장터,398838007,[아이폰 17프로 맥스] 케이스티파이 뚜비 케이스,95000,판매중,https://m.bunjang.co.kr/products/398838007
bracket_028,아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,398887144,[아이폰 17프로맥스] 어반소피스티케이션 일괄 피젯 케이스,160000,판매중,https://m.bunjang.co.kr/products/398887144
